hash,REC N,REC E,REC O,REC U,REC S
01688CCB,2.19,3.04,4.02,3.54,3.85
04BCFA49,2.19,4.13,3.85,3.88,3.98
06B8E61C,2.58,3.29,3.48,3.77,2.96
087D98D7,2.71,2.96,3.77,3.5,3.98
0B55EEC5,2.35,3.02,3.19,3.42,3.4
0BD76B9D,2.15,4.21,4.46,2.92,3.48
10E1C78F,3.02,3.21,2.71,3.69,3.31
1B09F58B,2.17,3.6,4.04,3.65,3.42
1B46DE54,2.23,3.88,3.92,3.71,4.13
1BBE64F3,2.58,3.27,3.69,3.58,3.19
1CA24B1A,2.1,2.85,3.94,2.92,3.9
1DC47E36,2.38,3.52,3.96,3.19,4.02
20E0F77D,2.38,3,3.23,3.44,3.1
21D9DE71,2.25,3.13,3.27,2.79,3.83
21E3D37F,2.85,3.33,3.56,2.88,3.35
270EF0B9,3.38,4.44,4.17,2.69,2.77
275999EA,2.46,3.08,3.81,3.23,3.83
27675F8D,2.31,3.52,4.13,4.04,3.79
358F2C0D,2.35,3.33,3.96,3.9,2.67
36A0E8A9,2.9,2.88,3.75,3.35,3.08
3823F1EA,2.46,4.21,3.77,3.06,4.15
388DBD11,2.42,3.44,3.6,3.5,3.44
38B017DF,2.21,3.38,3.31,3.52,3.92
3EF334A8,2.85,3.21,3.33,2.98,3.42
4274BB8B,3.58,3.54,3.94,3.38,2.42
43DCC27D,3.38,3.35,4.04,3.25,3.13
452A38DF,2.52,3.42,4,3.56,3.52
45A5E62A,2.33,4.04,4.48,3.63,2.98
46D81BA3,2.5,3.08,3.17,3.42,3.77
47B505DD,3.9,3.08,3.19,3.25,3.31
490C9CB3 / 3C5E7BC2,2.77,2.79,3.81,3.81,3.75
4A82B85A,3.23,2.85,3.81,3.85,3.13
4C369AD1,3.04,3.75,4.08,3.38,3.83
4C697F77,3.04,3.46,4.04,3.13,3.52
50DF17BD,3.5,3.06,3.13,3.02,3.33
54BC4EE1,2.31,3.42,3.17,3.77,3.6
56F70D3B,2.31,2.35,3.6,3.4,3.69
59AF4877,2.83,3.75,3.88,3.52,3.46
5A657DB3,2.77,2.79,3.81,3.81,3.75
5AEB8804,2.69,3.85,3.73,3.04,3.65
5B323D7C,3.46,3.33,3.65,3.63,3.85
5B65F0C6,3.83,2.81,4.13,4.02,2.42
5D02FF51,2.67,3.69,3.73,3.08,3.54
5D52D5CE,3.38,3.35,4.04,3.25,3.13
5FCAB880,2.83,3.15,3.38,3.13,3.1
62662ECC,2.29,2.81,3.27,3.54,4.04
630C47DB,3.08,2.9,3.9,3.4,2.58
67F964A6,3.19,3.58,3.33,3.15,2.69
6A81F5D0,2.38,2.33,3,3.15,3.58
6AF112E9,2.06,3.4,3.13,2.33,3.96
6D090C6E,3.38,2.85,3.08,3.6,2.54
709FE864,2.75,3.4,4,3.19,3.25
721CEA91,3.23,3.06,3.31,3.67,3.29
7292ACBC,2.79,3.46,3.67,2.79,4.04
72E2D3E3,2.75,3.52,3.94,3.17,4.38
751E8EB0,2.73,3.27,3.58,3.67,4.29
76E538F7,3.4,2.88,3.54,2.58,2.25
77A2B90E,2.52,3.42,4,3.56,3.52
7B6592F8,2.25,2.63,3.31,2.81,4.5
7CF5182A,2.5,3.6,3.52,3.54,3.27
7EAC5897,3.38,3.52,4.06,3.5,3.44
7F0D5B70,3.27,3.73,3.15,3.13,2.75
80CF354D,2.73,3.6,3.27,3.33,3.81
85A6B62A,2.35,3.75,3.98,2.69,3.75
86EFA848,2.63,3,3.79,3.54,3.94
8816FD98,2.77,2.79,3.81,3.81,3.75
88F7932F,2.5,3.58,3.25,3.54,3.5
8A74A17B,2.71,3.08,3.9,3.58,3.81
8B03BEF4,2.4,3.65,2.94,3.46,3.48
8CC2C642,2.4,3.54,3.83,4.08,3.9
8D07C24E,1.85,3.44,3.33,3.73,4.08
8D98A737,2.5,3.58,3.25,3.54,3.5
8E5F8539,2.98,2.46,3.73,3.17,2.9
8F24A4B6,2.75,2.75,2.96,3.1,3.02
8F4C0A83,2.04,3.65,4.21,3.79,3.5
93615DBC,3.31,2.63,3.42,3.92,3.5
93A95D0B,3.58,3.21,3.83,3.6,3.44
95E8F761,1.31,3.75,3.75,4.25,4.46
96C2E9B9,4.17,3.02,3.6,2.23,2.63
97ED5884,2.23,3.29,3.33,3.42,3.83
981C31DD,3.96,2.19,3.15,3.02,2.94
99127D9D,3.71,2.63,3.9,3.77,3.08
9A4B5C72,2.35,3.79,4.02,3.48,3.65
9A705BD3,3.02,2.79,3.54,3.5,3.63
9CC262C1,2.31,3.38,3.02,3.15,3.38
9E19397F,2.54,3.19,3.27,3.13,3.56
A02FB21C,2.1,4.27,3.65,2.67,3.96
A07B3F9B,4,2.56,3.69,2.35,3.35
A49B3A72,3.13,3.38,3.69,3.73,3.15
A526B66E,2.46,3.79,3.35,3.31,3.85
A54D6C80,2.21,3.38,3.31,3.52,3.92
A729FA23,2.44,2.96,4.08,3.96,3.88
A803E73D,2.92,2.83,3.6,4.06,3.02
A9B98466,2.96,3.02,3.6,3.69,3.54
AB7775C1,3.04,3.1,3.88,3.29,3.79
ABED2013,3.04,2.83,3.15,3.27,2.4
AC0A230C,2.4,3.19,3.69,3.9,4.04
AE689947,2.94,4.04,4.29,3.85,3.42
B04C70AA,3.04,2.54,3.71,3.48,3.6
B12E5D46,2.65,3.29,2.96,3.02,3.42
B14C2F87,3,3.46,3.5,3.33,3.4
B250CEE7,2.58,3.27,3.69,3.58,3.19
B37A62C7,2.83,3.33,3.52,3.4,2.9
B493DB72,2.5,3.6,3.92,3.15,3.5
B5425EA7 B9E3560C,2.19,4.13,3.85,3.88,3.98
BB0B211C,3.38,2.85,3.08,3.6,2.54
BB61D666,3.02,3.19,3.27,3.1,3.21
BC60329F,2.98,3.85,3.88,3.58,2.81
BCE394B6,3.02,3.77,4.13,2.83,3.06
C0C8908B,2.73,3.27,3.58,3.67,4.29
C105F9C4,2.1,3.29,3.15,3.1,3.77
C3EA4A57,2.9,2.88,3.75,3.35,3.08
C43F641B,3.17,3.52,4.38,3.25,3.29
C554E0C6,2.56,3.5,3.77,3.08,3.44
C65E281A,3.08,2.65,4.1,4.21,3.52
C794F6F9,2.92,2.83,3.6,4.06,3.02
C80F31F6,2.38,3.96,3.23,3.67,3.15
CA42478D,2.23,3.29,3.33,3.42,3.83
CB45FB80,2.85,3.21,3.33,2.98,3.42
CC2C8039,2.02,2.98,2.9,3.56,3.85
CE2D5264,2.85,3.48,4.06,4.15,3.1
D2C854DC,2.06,3.67,3.4,3.44,4.31
D32FED91,2.92,3.31,3.94,3.42,3.31
D33D5C83,2.46,3.77,3.42,3.13,4.33
D79AE15A,3.21,3.17,3.04,3.81,3.65
D94760AB DDAA8871,3.1,3.6,4.1,3.58,2.98
DAC35D67,1.23,3.44,3.67,3.4,3.13
E24DC6C2,3.21,2.65,3.33,3.13,3.52
E2FC1075,3.5,2.85,3.67,3.94,3.79
E43ED139,3.4,3.04,3.44,3.4,2.9
E5C6044D,2.42,3.44,3.6,3.5,3.44
E62D11F8,2.98,2.9,3.35,3.75,3.4
EA8052CF,2.81,3.08,2.83,3.56,3.69
ED6F03A9,2.63,4,4.38,3.21,3.4
EDDC5422,2.71,3.08,3.9,3.58,3.81
EE44B560,3.85,2.88,3.67,3.31,3.5
EF18217C,3.77,3.63,4,3.25,3.1
F08D15C2,2.69,2.46,3.42,3.13,3.04
F439B3BA,2.48,3.21,3.04,3.5,4
F4EE7882,2.83,3.52,4.08,3.33,2.75
F53FB27C,3.9,3.08,3.19,3.25,3.31
FC311A59,2.48,4.33,3.81,3.46,3.92
FC680688,3.21,2.83,3.73,3.85,3.85
FE1831FD,2.96,3.33,3.48,2.71,3.79
FEB600A9,1.31,3.75,3.75,4.25,4.46
FF627968,2.83,2.63,3.85,3.92,3.81
FFB513F5,3.42,3.17,3.71,3.79,4.08
