hash,Plec,Wiek,temperatura,posner validRT Mean,posner Invalid RT Mean,posner control RT Mean,posner valid ACC,posner Invalid ACC,posner control ACC,N0,N1,N2,N0RT,N1RT,N2RT,Transit between Acc,Transit between RT,Transit inside Acc,Transit inside RT,Transit Control Acc,Transit control RT,NEO N,NEO E,NEO O,NEO U,NEO S,FCZ ZW,ECZ PE,FCZ RT,FCZ WS,FCZ WT,FCZ RE,FCZ AK,STAI X-1,STAI X-2,Test matryc,EPQ N,EPQ E,EPQ P,EPQ K,EPQ U,EPQ PR,WAIS arytmetyka,WAIS powt cyfr,WAIS symb cyfr,WAIS IQ,CwP PUK,CwP PBS,CwP PZL,CwP PZI,CwP KO,CwP IK,CwP S,CwP P,REC N,REC E,REC O,REC U,REC S
015EC76F,0,30.0,37.4644255081034,,,,,,,,,,,,,17.0,6472.72,14.0,5980.91,16.0,6825.37,103,138,135,106,96,44,44,19,49,32,34,44,29,35,56,16,16,10,7,15,17,47,11,76,119,80,32,23,22,28,65,41,16,,,,,
087D98D7,0,43.0,36.9642376636734,381.29,448.0,463.16,0.82,0.9,0.82,16.0,8.0,7.0,365.15,436.95,407.69,8.0,7067.04,10.0,7899.43,10.0,7285.39,82,94,133,120,143,41,42,27,45,31,39,41,38,38,55,19,13,2,11,14,15,30,10,52,104,84,39,21,19,25,59,40,32,2.71,2.96,3.77,3.5,3.98
0B55EEC5,1,24.0,37.7147,271.08,248.6,280.1,0.84,0.8,0.82,16.0,7.0,8.0,424.36,486.2,586.6,15.0,5753.81,20.0,5070.64,20.0,4715.98,65,97,105,116,115,41,35,20,42,39,30,40,32,27,56,4,15,7,9,7,9,72,14,76,134,97,36,27,27,32,65,48,36,2.35,3.02,3.19,3.42,3.4
0BD76B9D,1,24.0,37.1416,347.16,493.2,387.26,0.89,0.86,0.78,16.0,8.0,8.0,593.9,592.91,838.3,9.0,5761.77,6.0,7762.82,14.0,7493.51,55,154,166,92,119,46,41,23,60,31,20,43,23,26,55,7,17,10,7,10,10,70,14,50,123,85,26,26,28,26,59,40,36,2.15,4.21,4.46,2.92,3.48
1B09F58B,0,32.0,37.1708,329.75,342.65,346.14,0.81,0.9,0.84,16.0,8.0,6.0,462.03,735.0,421.9,7.0,7071.7,9.0,6372.53,10.0,6708.2,56,125,146,127,116,41,37,22,50,32,31,42,26,25,57,0,18,10,12,4,4,27,17,64,119,64,25,19,18,20,44,31,29,2.17,3.6,4.04,3.65,3.42
1B46DE54,1,23.0,38.3245,298.98,317.75,280.66,0.88,0.8,0.78,16.0,8.0,6.0,301.31,291.56,365.63,4.0,3538.75,6.0,5506.35,5.0,7079.52,59,138,140,130,150,42,42,24,47,33,32,50,23,30,50,7,19,5,13,4,8,30,15,52,108,85,30,30,23,29,58,41,38,2.23,3.88,3.92,3.71,4.13
1BF3D179,0,23.0,,599.088,739.75,713.14,0.531,0.6429,0.5301,16.0,7.0,8.0,426.2562,696.0571,594.0375,14.0,7461.0857,15.0,6988.3267,18.0,5521.0167,0,95,102,101,106,31,56,19,42,30,43,36,43,48,52,16,8,7,5,13,14,30,12,75,113,98,33,35,27,32,66,49,43,,,,,
1DC47E36,0,23.0,36.9086,331.2,350.9,352.2,0.84,0.8,0.86,16.0,8.0,7.0,395.33,411.18,893.97,11.0,5314.08,18.0,6921.24,16.0,6533.26,66,121,142,105,145,43,40,21,50,39,33,42,32,27,58,2,16,11,10,4,7,56,14,72,125,62,24,19,19,21,44,30,34,2.38,3.52,3.96,3.19,4.02
21E3D37F,0,23.0,37.3419,275.66,329.75,349.6,0.78,0.9,0.82,16.0,7.0,7.0,368.54,435.03,521.86,17.0,6994.54,17.0,6125.71,20.0,5070.68,89,112,123,90,113,45,37,18,45,43,30,40,30,31,56,7,16,9,7,8,10,24,10,67,102,77,33,22,19,25,53,40,35,2.85,3.33,3.56,2.88,3.35
348BC5B6,0,24.0,36.7337,296.46,331.3,303.76,0.86,0.75,0.82,16.0,7.0,8.0,355.55,506.29,455.81,14.0,4492.01,17.0,4369.45,20.0,5489.36,62,130,137,128,132,39,40,20,33,37,33,45,29,35,55,5,19,11,10,5,7,37,14,51,106,80,33,22,21,25,55,40,32,,,,,
36A0E8A9,1,44.0,38.3352,316.075,362.4,361.98,0.775,0.8,0.898,16.0,8.0,7.0,383.425,398.9625,567.8143,19.0,4578.5684,18.0,5209.6722,17.0,4476.5588,91,90,132,113,100,40,42,22,43,33,42,41,27,38,57,16,4,8,7,16,17,12,11,77,102,54,20,18,15,16,67,26,12,2.9,2.88,3.75,3.35,3.08
38B017DF,1,22.0,36.8625,,,,,,,16.0,8.0,6.0,378.5562,372.9875,476.55,15.0,8207.18,17.0,5696.7882,20.0,6016.17,58,114,111,121,140,45,39,27,45,39,33,48,22,23,50,3,13,6,14,1,2,22,18,57,111,81,32,22,24,28,53,38,32,2.21,3.38,3.31,3.52,3.92
3EF334A8,1,28.0,38.0253,,,,,,,16.0,8.0,8.0,308.0687,413.5,490.3625,20.0,4560.0,17.0,4575.2529,19.0,4926.9895,89,106,112,95,116,40,35,23,32,43,37,41,33,40,56,6,20,13,9,11,11,38,13,52,104,91,34,29,27,35,58,45,38,2.85,3.21,3.33,2.98,3.42
4274BB8B,1,30.0,37.0095,314.688,376.15,364.76,0.875,0.7,0.86,16.0,8.0,6.0,414.806249999993,424.337500000005,784.916666666661,12.0,5037.48333333333,13.0,4932.3,15.0,5648.98666666667,124,122,141,114,68,49,46,15,39,22,45,41,39,44,55,19,16,15,3,1,20,37,21,54,121,84,28,28,22,24,60,43,38,3.58,3.54,3.94,3.38,2.42
47B505DD,0,30.0,,314.69,376.15,364.76,0.88,0.7,0.86,16.0,8.0,6.0,414.81,424.34,784.92,12.0,5037.48,13.0,4932.3,15.0,5648.99,124,122,141,114,68,49,46,15,39,22,45,41,39,44,55,19,16,15,3,1,20,37,21,54,121,84,28,28,22,24,60,43,38,3.9,3.08,3.19,3.25,3.31
4A82B85A,1,27.0,37.5716,301.763,318.05,332.32,0.8734,0.9,0.76,16.0,8.0,7.0,445.2125,566.4,692.8286,11.0,4920.0636,9.0,4525.3444,14.0,4460.2,107,89,135,137,102,42,41,18,44,34,42,35,30,38,55,8,7,8,9,13,10,22,8,61,98,68,31,16,17,22,46,31,35,3.23,2.85,3.81,3.85,3.13
4C369AD1,0,24.0,37.0072,360.89,418.95,386.26,0.81,0.89,0.84,16.0,8.0,8.0,358.6,409.95,556.39,16.0,4469.25,15.0,5557.55,15.0,4757.71,98,132,148,114,136,42,44,20,49,44,38,48,34,36,58,13,18,7,13,13,13,70,14,86,136,83,34,22,22,27,56,39,39,3.04,3.75,4.08,3.38,3.83
59AF4877,0,24.0,37.5658,271.8,286.45,289.32,0.83,0.9,0.8,16.0,8.0,6.0,363.5,379.7,500.32,14.0,6576.61,18.0,6220.17,19.0,5602.81,88,132,138,121,118,41,39,23,45,38,40,40,31,39,55,12,17,13,3,15,12,18,21,59,113,78,32,21,22,27,51,39,35,2.83,3.75,3.88,3.52,3.46
5A657DB3,0,23.0,37.4028,,,,,,,16.0,8.0,7.0,535.7188,441.125,472.7571,13.0,8219.7231,9.0,8941.7889,15.0,8364.5933,85,86,135,135,132,38,42,29,44,35,35,38,30,33,58,10,16,6,11,10,10,76,21,62,138,69,28,21,19,21,50,35,31,2.77,2.79,3.81,3.81,3.75
5B65F0C6,0,24.0,37.2277,300.79,347.35,337.02,0.84,0.8,0.9,16.0,8.0,8.0,401.38,371.9,364.59,19.0,3706.05,16.0,2888.94,19.0,3876.09,136,87,150,145,68,46,43,10,48,25,46,23,42,48,57,17,10,15,10,15,15,53,12,66,117,90,31,29,23,25,65,41,42,3.83,2.81,4.13,4.02,2.42
6AF112E9,1,27.0,38.6155651403054,271.9,390.9,360.5,0.79,0.85,0.8,16.0,8.0,8.0,378.23,429.05,547.48,17.0,5349.87,19.0,5675.25,17.0,5041.04,51,115,102,64,142,46,26,20,42,55,21,40,23,24,56,2,15,13,9,7,10,64,17,67,123,74,27,24,23,22,54,38,33,2.06,3.4,3.13,2.33,3.96
6E1B1C96,0,23.0,36.8617,,,,0.7848,0.95,0.88,16.0,8.0,8.0,334.1937,331.375,990.05,15.0,4842.3733,15.0,3726.5467,16.0,5016.55,81,137,131,98,127,39,40,19,48,49,28,42,38,41,49,13,5,1,10,11,7,40,17,65,111,74,26,18,28,25,68,39,14,,,,,
7292ACBC,1,27.0,37.2416,260.25,320.0,311.12,0.86,0.75,0.84,16.0,7.0,8.0,355.33,388.59,464.1,13.0,6386.69,14.0,5633.87,17.0,6311.45,86,118,128,86,146,45,45,23,41,34,33,44,32,40,60,15,19,9,13,11,18,62,16,69,128,87,33,26,25,29,58,39,39,2.79,3.46,3.67,2.79,4.04
72E2D3E3,1,24.0,37.8813,,,,,,,16.0,8.0,8.0,364.5625,490.875,713.175,17.0,3559.9824,15.0,4231.1,18.0,3718.6278,84,121,141,104,162,51,49,28,47,34,33,47,15,7,0,21,3,10,9,24,25,32,18,42,113,89,34,28,25,29,70,43,20,2.75,3.52,3.94,3.17,4.38
7CF5182A,1,25.0,36.6957,,,,,,,16.0,8.0,8.0,347.1,411.85,476.31,,,,,,,72,125,121,122,109,45,39,18,39,42,40,41,40,38,57,11,19,9,10,6,11,70,15,78,128,74,29,24,22,27,50,38,36,2.5,3.6,3.52,3.54,3.27
7F0D5B70,1,27.0,,289.23,316.7,327.48,0.84,0.75,0.86,,,,,,,18.0,4918.3,16.0,3854.98,19.0,4748.17,109,131,103,102,84,41,42,26,42,39,33,49,39,46,56,15,18,13,4,18,20,66,14,66,125,74,27,24,23,22,54,38,33,3.27,3.73,3.15,3.13,2.75
85A6B62A,1,27.0,37.3096,322.93,393.05,401.26,0.87,0.75,0.86,16.0,8.0,7.0,404.42,393.21,802.77,16.0,4129.48,18.0,4317.16,17.0,5068.06,65,132,143,81,132,47,41,30,43,36,38,46,35,40,56,8,19,8,9,7,12,46,10,73,113,81,28,23,24,28,53,40,37,2.35,3.75,3.98,2.69,3.75
8816FD98,0,24.0,,309.71,413.7,339.62,0.82,0.95,0.86,16.0,8.0,8.0,374.48,419.78,431.25,16.0,4989.38,18.0,5046.79,19.0,3880.78,85,86,135,135,132,38,42,29,44,35,35,38,30,33,58,10,16,6,11,10,10,76,21,62,138,69,28,21,19,21,50,35,31,2.77,2.79,3.81,3.81,3.75
8B03BEF4,1,27.0,36.901,322.925,393.05,401.26,0.8875,0.6,0.84,16.0,8.0,7.0,464.512499999995,508.762499999993,548.642857142856,10.0,7383.01,15.0,6448.48666666667,16.0,6974.0875,67,127,93,118,119,48,44,23,52,38,29,42,32,36,56,2,16,7,11,3,6,44,15,57,117,86,32,24,26,28,58,37,41,2.4,3.65,2.94,3.46,3.48
8CC2C642,0,27.0,36.3277,318.275,366.25,328.38,0.8625,0.65,0.84,16.0,7.0,8.0,398.4437,471.3143,663.3875,11.0,6096.6091,10.0,6246.76,13.0,5746.4538,67,122,136,148,139,47,49,16,44,37,38,39,26,25,57,10,9,8,14,7,10,44,12,68,115,79,30,23,22,24,55,39,32,2.4,3.54,3.83,4.08,3.9
8D07C24E,1,23.0,38.2095,281.8,261.9,319.88,0.9,0.9,0.8,16.0,8.0,6.0,328.71,463.1,495.9,9.0,7446.03,12.0,6057.32,12.0,6989.3,41,117,112,131,148,41,28,20,53,44,33,46,26,24,54,2,14,8,14,6,7,24,15,59,108,59,29,13,15,22,37,28,22,1.85,3.44,3.33,3.73,4.08
8D98A737,0,36.0,38.203,331.21,333.25,383.76,0.81,0.95,0.8,16.0,8.0,7.0,540.57,672.85,860.83,10.0,8428.89,6.0,6864.25,15.0,8070.66,72,124,108,122,120,43,44,32,49,34,33,42,26,33,51,8,20,5,14,4,8,47,15,66,125,100,35,32,28,34,66,49,40,2.5,3.58,3.25,3.54,3.5
93615DBC,0,31.0,37.7244,432.225,596.85,550.02,0.8625,0.85,0.84,16.0,7.0,5.0,369.5625,351.1,469.74,7.0,5092.1857,12.0,4991.5167,10.0,5658.73,111,78,116,140,120,39,49,29,47,35,49,38,45,51,48,15,7,8,14,10,14,15,15,61,106,97,33,28,30,30,67,41,41,3.31,2.63,3.42,3.92,3.5
93A95D0B,1,24.0,36.68,,,,0.78,0.76,0.72,15.0,5.0,7.0,449.72,483.28,670.2,16.0,6593.75,13.0,6543.27,18.0,6925.82,124,106,136,125,117,42,45,25,40,25,39,39,34,44,57,18,18,12,7,15,19,26,13,59,106,95,31,43,19,23,72,35,46,3.58,3.21,3.83,3.6,3.44
95E8F761,0,30.0,36.9151,261.86,275.85,270.4,0.8,0.8,0.84,16.0,4.0,5.0,457.63,1916.6,,7.0,2661.6,7.0,3596.41,9.0,3487.62,15,132,132,156,166,47,30,15,55,58,19,44,22,24,52,3,19,4,17,2,5,48,17,88,134,67,26,26,13,20,68,27,21,1.31,3.75,3.75,4.25,4.46
97ED5884,1,24.0,36.7919907341484,261.863,275.85,270.4,0.7875,0.85,0.88,16.0,8.0,8.0,373.287499999998,344.937499999998,466.575000000001,17.0,4025.02352941177,18.0,4011.18888888889,18.0,4392.37777777778,59,110,112,116,136,42,39,28,47,38,29,41,35,38,59,2,16,8,3,9,5,48,18,74,128,95,34,31,25,30,65,46,36,2.23,3.29,3.33,3.42,3.83
9A4B5C72,1,23.0,37.5556,270.19,274.75,278.56,0.85,0.75,0.88,16.0,7.0,7.0,342.03,327.69,443.0,12.0,6402.52,10.0,8053.62,16.0,5939.26,65,134,145,119,127,43,40,19,39,47,35,42,30,31,59,3,21,15,7,6,9,56,16,51,100,82,34,25,18,26,56,39,36,2.35,3.79,4.02,3.48,3.65
9A705BD3,0,40.0,37.8517,246.26,290.5,248.74,0.81,0.9,0.92,16.0,8.0,8.0,412.01,433.05,595.7,3.0,4967.5,5.0,3133.42,11.0,4122.46,97,86,122,120,126,32,34,23,33,25,34,27,39,34,48,13,5,1,10,11,7,42,3,68,119,87,32,25,26,29,68,42,18,3.02,2.79,3.54,3.5,3.63
A07B3F9B,0,,37.5969,246.263,290.5,248.74,0.8375,0.8,0.8571,16.0,8.0,8.0,406.3938,441.6,422.0625,19.0,5140.7474,16.0,4544.5063,20.0,4489.095,144,75,129,65,113,45,49,14,49,25,45,34,61,63,56,21,4,13,3,22,19,46,16,76,125,92,34,28,25,32,60,45,47,4.0,2.56,3.69,2.35,3.35
A54D6C80,1,23.0,36.7538,369.18,389.7,412.7,0.81,0.65,0.92,16.0,8.0,7.0,421.91,491.72,469.54,3.0,7771.3,3.0,9433.37,6.0,8783.57,58,114,111,121,140,45,39,27,45,39,33,48,22,23,50,3,13,6,14,1,2,22,18,57,111,81,32,22,24,28,53,38,32,2.21,3.38,3.31,3.52,3.92
BC60329F,1,42.0,37.2472,,,,,,,16.0,8.0,5.0,440.45,499.8,679.2,5.0,5878.76,9.0,5631.2111,5.0,6418.06,95,137,138,124,87,43,41,17,48,39,33,51,4,13,57,20,12,8,10,16,19,0,17,39,85,95,39,31,19,39,61,46,16,2.98,3.85,3.88,3.58,2.81
C0C8908B,0,24.0,37.5348,318.875,410.1,377.52,0.822784810126582,0.85,0.86,16.0,5.0,7.0,399.718750000004,1136.34000000001,854.642857142861,5.0,8978.38,7.0,8599.04285714286,7.0,8471.81428571429,83,109,124,128,158,45,50,18,48,28,43,35,35,42,54,14,14,6,12,9,13,42,11,65,111,75,22,26,25,21,55,34,32,2.73,3.27,3.58,3.67,4.29
C794F6F9,0,23.0,37.3349,,,,,,,16.0,8.0,8.0,465.9938,642.3875,691.9875,12.0,7520.85,12.0,7293.5917,16.0,6879.5813,92,88,125,147,97,41,47,10,49,28,40,38,97,95,44,18,15,13,10,18,18,12,14,78,115,79,31,21,23,28,64,41,14,2.92,2.83,3.6,4.06,3.02
CA42478D,1,23.0,37.0947,,,,,,,16.0,8.0,8.0,384.025,359.2625,344.3,18.0,4628.6556,17.0,6348.4647,19.0,4346.6842,59,110,112,116,136,42,39,28,47,38,29,41,12,11,55,10,19,7,8,11,16,10,14,88,108,92,41,24,25,31,98,50,15,2.23,3.29,3.33,3.42,3.83
CB45FB80,1,27.0,37.0195,,,,0.775,0.75,0.92,16.0,8.0,8.0,391.962500000001,449.324999999997,406.725000000002,14.0,7204.67857142857,15.0,6773.26666666667,15.0,6462.73333333333,89,106,112,95,116,40,35,23,32,43,37,41,33,40,56,6,20,13,9,11,11,38,13,52,104,91,34,29,27,35,58,45,38,2.85,3.21,3.33,2.98,3.42
CE2D5264,1,23.0,37.7054,277.26,305.85,284.64,0.83,0.75,0.9,15.0,8.0,8.0,357.47,398.9,485.81,16.0,3936.98,19.0,4382.03,20.0,3817.25,89,119,147,151,101,46,29,16,46,44,36,39,26,30,58,15,20,15,9,13,20,58,17,64,128,91,31,35,23,30,61,44,35,2.85,3.48,4.06,4.15,3.1
D32FED91,1,24.0,37.4139,259.837,335.5,286.52,0.8125,0.85,0.88,16.0,8.0,8.0,445.262499999997,417.5375,819.512499999997,18.0,4940.97222222222,20.0,3765.91,19.0,4431.08421052632,92,111,141,116,111,39,42,22,46,37,38,41,46,51,59,15,21,14,8,15,17,56,12,56,113,91,34,29,27,35,58,45,38,2.92,3.31,3.94,3.42,3.31
D743FA44,0,28.0,38.0391,,,,,,,16.0,8.0,7.0,329.218749999995,366.662500000009,542.985714285708,16.0,5677.2625,12.0,5614.69166666667,17.0,5333.30588235294,32,145,163,119,160,44,39,29,60,47,36,55,25,25,51,3,19,9,10,6,6,30,11,69,125,76,27,25,22,24,54,38,28,,,,,
DAC35D67,0,25.0,,265.988,285.75,291.58,0.85,0.9,0.72,16.0,7.0,8.0,361.962499999995,341.814285714289,373.787499999998,9.0,6771.67777777778,8.0,3809.8,6.0,7427.9,11,117,128,115,102,41,49,23,45,28,45,43,42,44,55,22,21,9,10,17,23,34,16,85,128,91,30,33,25,31,60,44,43,1.23,3.44,3.67,3.4,3.13
DDAA8871,0,23.0,,272.463,297.55,295.06,0.810126582278481,0.95,0.86,16.0,8.0,7.0,345.774999999998,461.100000000002,1217.92857142857,20.0,6808.11,17.0,6299.05882352941,19.0,6270.65789473684,101,125,149,124,95,42,45,20,45,40,41,47,39,40,57,15,19,8,8,12,16,60,22,68,136,86,31,30,21,29,57,41,39,,,,,
E24DC6C2,0,24.0,38.1588,285.625,320.05,317.2,0.9,0.9,0.78,16.0,8.0,8.0,355.2687,371.6875,360.3125,15.0,5098.7867,18.0,3964.7278,15.0,3823.8133,106,79,112,102,121,44,40,20,43,30,44,29,38,37,60,15,4,11,10,13,13,26,12,73,113,83,33,23,23,31,52,40,35,3.21,2.65,3.33,3.13,3.52
EF18217C,1,24.0,36.6973308113036,278.91,300.95,278.46,0.84,0.79,0.84,16.0,8.0,7.0,358.87,381.38,431.17,19.0,5891.4,18.0,4784.01,19.0,4603.66,133,126,144,108,101,41,39,20,48,26,41,41,39,53,58,20,20,14,2,19,21,70,18,78,138,85,33,26,23,27,68,43,17,3.77,3.63,4.0,3.25,3.1
F53FB27C,0,23.0,36.8889,265.2,277.6,277.76,0.8125,0.85,0.82,16.0,8.0,8.0,391.5,375.35,995.75,20.0,4169.255,18.0,4226.2833,20.0,3265.33,139,100,105,108,111,39,51,13,48,30,49,37,37,48,59,19,12,7,5,16,17,52,15,87,132,84,30,27,28,34,54,42,41,3.9,3.08,3.19,3.25,3.31
FEB600A9,0,24.0,36.4675,323.125,332.7,324.88,0.825,0.85,0.86,,,,,,,20.0,3377.72,20.0,3931.97,19.0,3504.9789,15,132,132,156,166,47,30,15,55,58,19,44,23,28,56,2,15,10,9,6,7,24,12,73,106,67,26,26,13,20,68,27,21,1.31,3.75,3.75,4.25,4.46
FF627968,1,25.0,37.5999,358.875,407.05,441.3,0.821428571428571,0.75,0.764705882352941,16.0,8.0,8.0,434.087499999994,506.412500000002,648.012499999993,8.0,6574.35,8.0,3952.1,4.0,5388.4,88,78,137,140,135,41,41,16,47,36,34,37,30,39,55,12,12,5,12,7,10,31,11,54,102,86,24,27,29,30,56,42,37,2.83,2.63,3.85,3.92,3.81
FFB513F5,0,23.0,36.7307,286.45,289.05,275.76,0.825,0.95,0.88,16.0,8.0,8.0,351.918750000002,406.712500000007,544.175,16.0,5729.39375,13.0,5019.90769230769,15.0,5643.26,116,104,130,134,148,39,40,21,51,36,53,34,24,47,59,15,12,7,13,10,15,38,9,69,108,73,25,23,24,25,50,34,32,3.42,3.17,3.71,3.79,4.08
